type,table_name,column_name,data_type,is_nullable,column_default
COLUMN,catalogue_sources,id,uuid,NO,gen_random_uuid()
COLUMN,catalogue_sources,manufacturer_id,uuid,NO,null
COLUMN,catalogue_sources,document_name,text,NO,null
COLUMN,catalogue_sources,document_url,text,YES,null
COLUMN,catalogue_sources,document_date,text,YES,null
COLUMN,catalogue_sources,extracted_at,timestamp with time zone,YES,now()
COLUMN,catalogue_sources,extracted_by,text,YES,null
COLUMN,catalogue_sources,notes,text,YES,null
COLUMN,catalogue_sources,created_at,timestamp with time zone,YES,now()
COLUMN,community_signups,id,uuid,NO,gen_random_uuid()
COLUMN,community_signups,created_at,timestamp with time zone,YES,now()
COLUMN,community_signups,email,text,YES,null
COLUMN,community_signups,rfq_id,text,YES,null
COLUMN,components,id,uuid,NO,gen_random_uuid()
COLUMN,components,manufacturer_id,uuid,YES,null
COLUMN,components,sku,text,YES,null
COLUMN,components,name,text,NO,null
COLUMN,components,description,text,YES,null
COLUMN,components,category,text,YES,null
COLUMN,components,unit,text,YES,null
COLUMN,components,sort_order,integer,YES,0
COLUMN,embed_widget_systems,id,uuid,NO,gen_random_uuid()
COLUMN,embed_widget_systems,embed_widget_id,uuid,NO,null
COLUMN,embed_widget_systems,system_id,uuid,NO,null
COLUMN,embed_widget_systems,sort_order,integer,YES,0
COLUMN,embed_widgets,id,uuid,NO,gen_random_uuid()
COLUMN,embed_widgets,supplier_id,uuid,YES,null
COLUMN,embed_widgets,name,text,NO,'My Widget'::text
COLUMN,embed_widgets,public_token,text,NO,"encode(gen_random_bytes(16), 'hex'::text)"
COLUMN,embed_widgets,status,text,YES,'active'::text
COLUMN,embed_widgets,created_at,timestamp with time zone,YES,now()
COLUMN,embed_widgets,manufacturer_id,uuid,YES,null
COLUMN,manufacturers,id,uuid,NO,gen_random_uuid()
COLUMN,manufacturers,name,text,NO,null
COLUMN,manufacturers,slug,text,NO,null
COLUMN,manufacturers,logo_url,text,YES,null
COLUMN,manufacturers,website_url,text,YES,null
COLUMN,manufacturers,description,text,YES,null
COLUMN,manufacturers,created_at,timestamp with time zone,YES,now()
COLUMN,manufacturers,hero_image_url,text,YES,null
COLUMN,manufacturers,auth_user_id,uuid,YES,null
COLUMN,manufacturers,abn,text,YES,null
COLUMN,manufacturers,phone,text,YES,null
COLUMN,portal_contacts,id,uuid,NO,gen_random_uuid()
COLUMN,portal_contacts,entity_type,text,NO,null
COLUMN,portal_contacts,entity_id,uuid,NO,null
COLUMN,portal_contacts,name,text,NO,null
COLUMN,portal_contacts,role,text,YES,null
COLUMN,portal_contacts,email,text,YES,null
COLUMN,portal_contacts,phone,text,YES,null
COLUMN,portal_contacts,sort_order,integer,YES,0
COLUMN,portal_contacts,created_at,timestamp with time zone,YES,now()
COLUMN,products_by_manufacturer,manufacturer,text,YES,null
COLUMN,products_by_manufacturer,category,text,YES,null
COLUMN,products_by_manufacturer,subcategory,text,YES,null
COLUMN,products_by_manufacturer,product_code,text,YES,null
COLUMN,products_by_manufacturer,product_name,text,YES,null
COLUMN,products_by_manufacturer,dimensions,text,YES,null
COLUMN,products_by_manufacturer,length_m,numeric,YES,null
COLUMN,products_by_manufacturer,double_sided,boolean,YES,null
COLUMN,products_by_manufacturer,colour_count,bigint,YES,null
COLUMN,products_by_manufacturer,colours,text,YES,null
COLUMN,products_by_manufacturer,component_count,bigint,YES,null
COLUMN,products_by_manufacturer,description,text,YES,null
COLUMN,products_by_manufacturer,notes,text,YES,null
COLUMN,products_by_manufacturer,sort_order,integer,YES,null
