table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,components,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,components,2,manufacturer_id,uuid,uuid,YES,null,null,null,null
public,components,3,sku,text,text,YES,null,null,null,null
public,components,4,name,text,text,NO,null,null,null,null
public,components,5,description,text,text,YES,null,null,null,null
public,components,6,category,text,text,YES,null,null,null,null
public,components,7,unit,text,text,YES,null,null,null,null
public,components,8,sort_order,integer,int4,YES,0,null,32,0
public,components,9,length_mm,numeric,numeric,YES,null,null,null,null
public,components,10,width_mm,numeric,numeric,YES,null,null,null,null
public,components,11,height_mm,numeric,numeric,YES,null,null,null,null
public,components,12,thickness_mm,numeric,numeric,YES,null,null,null,null
public,components,13,depth_mm,numeric,numeric,YES,null,null,null,null
public,components,14,gauge_mm,numeric,numeric,YES,null,null,null,null
public,components,15,diameter_mm,numeric,numeric,YES,null,null,null,null
public,components,16,roll_m,numeric,numeric,YES,null,null,null,null
public,components,17,weight_kg,numeric,numeric,YES,null,null,null,null
public,components,18,pieces,numeric,numeric,YES,null,null,null,null
public,components,19,volume_ml,numeric,numeric,YES,null,null,null,null
public,components,20,weight_g,numeric,numeric,YES,null,null,null,null
public,components,21,pack_format,text,text,YES,null,null,null,null
public,components,22,supplier_pack_qty,numeric,numeric,YES,null,null,null,null
public,components,23,supplier_pack_uom,text,text,YES,null,null,null,null
public,components,24,supplier_pack_note,text,text,YES,null,null,null,null
public,manufacturers,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,manufacturers,2,name,text,text,NO,null,null,null,null
public,manufacturers,3,slug,text,text,NO,null,null,null,null
public,manufacturers,4,logo_url,text,text,YES,null,null,null,null
public,manufacturers,5,website_url,text,text,YES,null,null,null,null
public,manufacturers,6,description,text,text,YES,null,null,null,null
public,manufacturers,7,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
public,manufacturers,8,hero_image_url,text,text,YES,null,null,null,null
public,manufacturers,9,auth_user_id,uuid,uuid,YES,null,null,null,null
public,manufacturers,10,abn,text,text,YES,null,null,null,null
public,manufacturers,11,phone,text,text,YES,null,null,null,null
public,system_colours,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,system_colours,2,system_id,uuid,uuid,NO,null,null,null,null
public,system_colours,3,colour_name,text,text,NO,null,null,null,null
public,system_colours,4,image_url,text,text,YES,null,null,null,null
public,system_colours,5,is_stocked,boolean,bool,YES,true,null,null,null
public,system_colours,6,sort_order,integer,int4,YES,0,null,32,0
public,system_colours,7,sku,text,text,YES,null,null,null,null
public,system_components,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,system_components,2,system_id,uuid,uuid,NO,null,null,null,null
public,system_components,3,component_id,uuid,uuid,NO,null,null,null,null
public,system_components,4,role,text,text,YES,'required'::text,null,null,null
public,system_components,5,notes,text,text,YES,null,null,null,null
public,system_components,6,sort_order,integer,int4,YES,0,null,32,0
public,system_profiles,1,id,uuid,uuid,NO,gen_random_uuid(),null,null,null
public,system_profiles,2,system_id,uuid,uuid,NO,null,null,null,null
public,system_profiles,3,name,text,text,YES,null,null,null,null
public,system_profiles,4,product_code,text,text,YES,null,null,null,null
public,system_profiles,5,dimensions,text,text,YES,null,null,null,null
public,system_profiles,6,length_m,numeric,numeric,YES,null,null,null,null
public,system_profiles,7,sort_order,integer,int4,YES,0,null,32,0
public,system_profiles,8,created_at,timestamp with time zone,timestamptz,YES,now(),null,null,null
public,system_profiles,9,sheet_format,text,text,YES,null,null,null,null
public,system_profiles,10,length_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,11,width_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,12,height_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,13,thickness_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,14,depth_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,15,gauge_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,16,diameter_mm,numeric,numeric,YES,null,null,null,null
public,system_profiles,17,roll_m,numeric,numeric,YES,null,null,null,null
